,idx,name,area,countingDirection,day,count,date_jst,week,time,is_holiday_x,0,is_holiday_y,is_edge_holiday
98,98,bus,conv_crossing_right_person,leftright_topbottom,2021-11-11,2,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
99,99,car,conv_crossing_far_car,leftright_topbottom,2021-11-11,110,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
100,100,car,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,72,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
101,101,car,conv_crossing_far_person,leftright_topbottom,2021-11-11,35,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
102,102,car,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,40,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
103,103,car,conv_crossing_left_car,leftright_topbottom,2021-11-11,128,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
104,104,car,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,61,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
105,105,car,conv_crossing_left_person,leftright_topbottom,2021-11-11,13,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
106,106,car,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,3,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
107,107,car,conv_crossing_parking,leftright_topbottom,2021-11-11,1,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
108,108,car,conv_crossing_parking,rightleft_bottomtop,2021-11-11,37,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
109,109,car,conv_crossing_right_car,leftright_topbottom,2021-11-11,60,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
110,110,car,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,80,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
111,111,car,conv_crossing_right_person,leftright_topbottom,2021-11-11,28,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
112,112,car,conv_crossing_right_person,rightleft_bottomtop,2021-11-11,17,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
